sensor.home_assistant_core_cpu_percent | CPU-percentage |  | hassio | 
sensor.home_assistant_core_memory_percent | Geheugenpercentage |  | hassio | 
sensor.home_assistant_supervisor_cpu_percent | CPU-percentage |  | hassio | 
sensor.home_assistant_supervisor_memory_percent | Geheugenpercentage |  | hassio | 
sensor.home_assistant_host_os_agent_version | OS Agent-versie |  | hassio | 
sensor.home_assistant_host_apparmor_version | AppArmor-versie |  | hassio | 
sensor.home_assistant_host_disk_total | Schijfruimte totaal |  | hassio | 
sensor.home_assistant_host_disk_used | Schijfruimte gebruikt |  | hassio | 
sensor.home_assistant_host_disk_free | Schijfruimte vrij |  | hassio | 
sensor.home_assistant_operating_system_version | Versie |  | hassio | 
sensor.home_assistant_operating_system_newest_version | Nieuwste versie |  | hassio | 
update.home_assistant_supervisor_update | Update |  | hassio | 
update.home_assistant_core_update | Update |  | hassio | 
update.home_assistant_operating_system_update | Update |  | hassio | 
binary_sensor.rpi_power_status | RPi Power status |  | rpi_power | 
sensor.sun_next_dawn | Volgende dageraad |  | sun | 
sensor.sun_next_dusk | Volgende schemering |  | sun | 
sensor.sun_next_midnight | Volgende middernacht |  | sun | 
sensor.sun_next_noon | Volgende middag |  | sun | 
sensor.sun_next_rising | Volgende opkomst |  | sun | 
sensor.sun_next_setting | Volgende ondergang |  | sun | 
sensor.sun_solar_elevation | Elevatie zon |  | sun | 
sensor.sun_solar_azimuth | Azimut zon |  | sun | 
person.pieter | Pieter |  | person | 
switch.rfy_010306_1 | Rolluik Bureau Pieter |  | rfxtrx | 
binary_sensor.rfy_010306_1 | Rolluik Bureau Pieter |  | rfxtrx | 
cover.rfy_010306_1 | Rolluik Bureau Pieter |  | rfxtrx | 
automation.rolluikupwebhook | RolluikPieterNrBoven |  | automation | 
sensor.file_editor_versie | Versie |  | hassio | 
sensor.file_editor_nieuwste_versie | Nieuwste versie |  | hassio | 
sensor.file_editor_cpu_percentage | CPU-percentage |  | hassio | 
sensor.file_editor_geheugenpercentage | Geheugenpercentage |  | hassio | 
binary_sensor.file_editor_running | Actief |  | hassio | 
update.file_editor_update | Update |  | hassio | 
switch.rfy_010203_1 | Rolluik Alles |  | rfxtrx | 
binary_sensor.rfy_010203_1 | Rolluik Alles |  | rfxtrx | 
cover.rfy_010203_1 | Rolluik Alles |  | rfxtrx | 
automation.rolluikallesnrbeneden | RolluikAllesNrBeneden |  | automation | 
automation.rolluikallesstop | RolluikAllesStop |  | automation | 
automation.rolluikallesnrboven | RolluikAllesNrBoven |  | automation | 
automation.new_automation | RolluikPieterNrBeneden |  | automation | 
automation.rolluikpieterstop | RolluikPieterStop |  | automation | 
switch.rfy_010302_1 | Rolluik Schuifraam |  | rfxtrx | 
binary_sensor.rfy_010302_1 | Rolluik Schuifraam |  | rfxtrx | 
cover.rfy_010302_1 | Rolluik Schuifraam |  | rfxtrx | 
automation.rolluikschuifraamnrbeneden | RolluikSchuifraamNrBeneden |  | automation | 
automation.rolluikschuifraamstop | RolluikSchuifraamStop |  | automation | 
automation.rolluikschuifraamnrboven | RolluikSchuifraamNrBoven |  | automation | 
switch.rfy_010301_1 | Rolluik Bureau Friede |  | rfxtrx | 
binary_sensor.rfy_010301_1 | Rolluik Bureau Friede |  | rfxtrx | 
cover.rfy_010301_1 | Rolluik Bureau Friede |  | rfxtrx | 
automation.rolluikfriedenrboven | RolluikFriedeNrBoven |  | automation | 
automation.rolluikfriedestop | RolluikFriedeStop |  | automation | 
automation.rolluikfriedenrbeneden | RolluikFriedeNrBeneden |  | automation | 
switch.rfy_010303_1 | Rolluik Living |  | rfxtrx | 
binary_sensor.rfy_010303_1 | Rolluik Living |  | rfxtrx | 
cover.rfy_010303_1 | Rolluik Living |  | rfxtrx | 
automation.rolluiklivingnrboven | RolluikLivingNrBoven |  | automation | 
automation.rolluiklivingstop | RolluikLivingStop |  | automation | 
